2020/08/19 13:31:54.854 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/19 13:31:54.863 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/19 13:32:38.056 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/19 13:32:38.056 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 11:53:56.649 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 11:53:56.657 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:14:15.869 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:14:15.869 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:14:32.024 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:14:32.024 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:29:57.011 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:29:57.011 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:32:03.525 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:32:03.525 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:32:29.194 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:32:29.195 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:32:35.454 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:32:35.454 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:35:37.509 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:35:37.509 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:35:51.432 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:35:51.432 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:36:37.468 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:36:37.468 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:42:07.389 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:42:07.390 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:42:17.622 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:42:17.622 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:44:47.190 [E]  Connect to the redis host 127.0.0.1:6379 failed
